lat,lon,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
40.07033,116.4258,168,1,3,0.11,5,365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
40.08659,116.73716,953,3,1,0.02,1,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.95026,116.46785,248,2,3,0.07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92787,116.46037,570,3,2,0.03,1,353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91508,116.40774,423,3,166,2.84,1,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93485,116.46343,1503,7,1,0.08,1,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.95108,116.45362,591,2,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.82466,116.55588,201,2,3,0.14,1,321,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39.89394,116.4503,859,1,75,1.29,9,357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.98926,116.56393,235,1,0,0.0,1,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.98184000000001,116.42445,1342,7,0,0.0,1,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.87509,116.37138,698,2,38,0.98,1,176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.91005,116.5776,336,1,17,0.31,7,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.90892,116.57295,336,1,6,0.12,7,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.44715,116.44703,1503,2,28,0.49,2,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40.04543,116.29498,302,1,7,0.13,1,364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.92102,116.58759,986,2,1,0.02,2,190,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92316,116.456,617,30,0,0.0,98,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.9234,116.50636000000002,268,1,26,0.47,1,320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.8853,116.46043,403,1,1,0.12,1,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.99006,116.33791,268,1,128,5.44,1,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.8628,116.42502,785,2,109,1.94,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.97616,116.49344,396,2,30,0.6,5,351,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91979,116.45257,188,1,18,0.32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.92259,116.28612,356,3,0,0.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.91657,116.45269,597,31,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91994,116.4552,879,31,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91812,116.45609,1154,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92082,116.33888,698,31,0,0.0,26,365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.91844,116.45574,799,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91678,116.45329,651,31,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.84902,116.36103,235,7,3,0.05,11,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.92223,116.33543,597,31,0,0.0,26,365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.91637,116.4528,597,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91096,116.49851,208,1,6,0.41,1,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.97382,116.40949,248,4,20,2.01,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.84212,116.36148,141,1,22,0.41,11,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.90804,116.57145,336,1,19,0.36,7,296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89086,116.30019,181,1,55,0.97,1,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.91897,116.45598,752,2,59,1.14,1,157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.90881,116.47487,503,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.90858,116.47317,799,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91383,116.49296,698,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91567,116.46738,1550,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91986,116.50248,624,3,0,0.0,66,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91949,116.49621,577,3,3,0.07,66,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92008,116.45555,1047,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94143,116.44302,953,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91942,116.45731,2000,5,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91698,116.45996,953,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91817,116.49784,181,3,2,0.05,66,337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91783,116.4978,168,3,8,0.19,66,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91927,116.49617,262,2,8,0.19,66,363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91967,116.50427,228,3,1,0.13,66,358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91854,116.50211000000002,262,3,1,0.18,66,358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91878,116.45636,597,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.8612,116.38085,302,1,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.05729,116.335,148,15,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.91732,116.45877,752,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93783,116.45613,403,20,0,0.0,1,317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.95319,116.39351,872,30,0,0.0,26,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93974,116.44265,497,1,1,1.0,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93143,116.48696,939,3,55,1.0,1,337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.9654,116.5041,443,1,2,0.04,1,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.91912,116.37008,1181,1,3,0.06,4,345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.91967,116.37128,1577,1,0,0.0,4,357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.91901,116.37112,980,1,1,0.43,4,342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.44871,116.44203,1007,7,12,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39.92105,116.37228,879,1,4,0.08,4,353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.9223,116.4593,208,2,41,2.72,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.90995,116.57891,336,1,9,0.33,3,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91038,116.57639,336,1,20,0.45,3,181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.96979,116.32466,282,2,11,0.21,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.94379,116.46095,228,1,17,0.31,5,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.94374000000001,116.46751,228,1,23,0.46,5,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.84464000000001,116.35597,134,1,19,0.35,11,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.84922,116.3628,101,1,76,1.51,11,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40.07509,116.33455,148,28,1,0.04,2,365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
39.92927,116.45633,309,2,89,1.65,3,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92013,116.51643,396,1,0,0.0,2,356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.92753,116.3769,470,1,2,2.0,4,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.92951,116.4221,678,2,29,0.77,2,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.95165,116.44018,302,14,2,0.14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93789,116.38591,476,1,87,1.66,4,361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.00004000000001,116.37378,510,2,2,0.23,1,298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89326,116.43916000000002,289,2,48,0.91,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.94462,116.39473999999998,691,1,0,0.0,2,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.94321,116.39707,262,7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.89532,116.30979,483,3,7,0.14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.92614,116.37633999999998,570,1,0,0.0,4,361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.91614000000001,116.42817,101,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39.91823,116.4535,597,1,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.00126,116.31614,127,2,22,0.43,8,109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39.75045,116.55947,342,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39.93842,116.43542,416,1,111,2.15,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.88849,116.3403,127,1,52,2.45,12,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.00201,116.46267,228,1,182,3.55,1,306,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
