school_name,n_places_0,vacancy_rate_0,n_places_1,vacancy_rate_1,n_places_2,vacancy_rate_2,n_places_3,vacancy_rate_3,lat,lon
greendale primary school,71.0,0.2833333333333333,7.0,0.6708333333333333,0.0,0.6208333333333333,19.0,0.740625,1.39640265559055,103.912565965047
north vista primary school,71.0,0.2875,7.0,0.6541666666666667,0.0,0.6833333333333333,19.0,0.5777777777777777,1.38289339382802,103.895854152412
unity primary school,71.0,0.2875,7.0,0.5380952380952381,0.0,0.5047619047619047,19.0,0.5095238095238095,1.40282338968617,103.746993420009
chua chu kang primary school,71.0,0.2875,7.0,0.3809523809523809,0.0,0.4380952380952381,19.0,0.4857142857142857,1.37774328310053,103.741860548432
fuhua primary school,71.0,0.2875,7.0,0.5047619047619047,0.0,0.4666666666666667,19.0,0.5791666666666667,1.33650394598029,103.7361037501
hougang primary school,71.0,0.2916666666666667,7.0,0.4857142857142857,0.0,0.3952380952380952,19.0,0.3238095238095238,1.3780398609897,103.881166249315
horizon primary school,71.0,0.19047619047619047,7.0,0.3857142857142857,0.0,0.4958333333333334,19.0,0.565625,1.40000881529186,103.913071526722
sengkang green primary school,71.0,0.2916666666666667,7.0,0.5541666666666667,0.0,0.43333333333333335,19.0,0.1962962962962963,1.39283925109066,103.875158826122
compassvale primary school,71.0,0.2958333333333333,7.0,0.4958333333333334,0.0,0.5125,19.0,0.3875,1.39452983148325,103.897864767116
greenwood primary school,71.0,0.2958333333333333,7.0,0.6142857142857143,0.0,0.5857142857142857,19.0,0.5833333333333334,1.44011048816857,103.804629302637
fengshan primary school,71.0,0.2,7.0,0.480952380952381,0.0,0.5666666666666667,19.0,0.4857142857142857,1.33032495471393,103.931885376418
teck ghee primary school,71.0,0.3,7.0,0.4571428571428571,0.0,0.4190476190476191,19.0,0.4,1.36520063113583,103.851032163057
beacon primary school,71.0,0.3,7.0,0.5714285714285714,0.0,0.5904761904761905,19.0,0.6416666666666667,1.38423667692281,103.773754356751
junyuan primary school,71.0,0.3,7.0,0.5571428571428572,0.0,0.3277777777777778,19.0,0.2222222222222222,1.3478705133992,103.939220641557
new town primary school,71.0,0.3,7.0,0.6708333333333333,0.0,0.7238095238095238,19.0,0.7333333333333333,1.29981138774553,103.79996481092
bedok green primary school,71.0,0.30416666666666664,7.0,0.6476190476190476,0.0,0.4555555555555556,19.0,0.6708333333333333,1.32399627634455,103.937745022761
frontier primary school,71.0,0.3083333333333333,7.0,0.5416666666666666,0.0,0.3809523809523809,19.0,0.1,1.33664311192979,103.699682818103
chij primary (toa payoh),71.0,0.21428571428571427,7.0,0.21428571428571427,0.0,0.18095238095238092,19.0,0.22380952380952385,1.33275263726147,103.841847268953
westwood primary school,71.0,0.3125,7.0,0.6333333333333333,0.0,0.5125,19.0,0.25,1.34715463167376,103.700526715746
chij our lady of the nativity,71.0,0.31666666666666665,7.0,0.4083333333333333,0.0,0.4166666666666667,19.0,0.38333333333333336,1.37357409699145,103.897768958127
keming primary school,71.0,0.21904761904761905,7.0,0.4523809523809524,0.0,0.4238095238095238,19.0,0.29523809523809524,1.34524505261969,103.756264470434
seng kang primary school,71.0,0.32083333333333336,7.0,0.6125,0.0,0.7083333333333334,19.0,0.7,1.38925045654185,103.899527873246
palm view primary school,71.0,0.325,7.0,0.65,0.0,0.5375,19.0,0.5,1.38384076410294,103.891215105298
boon lay garden primary school,71.0,0.325,7.0,0.6714285714285714,0.0,0.5333333333333333,19.0,0.7166666666666667,1.34284013791617,103.712858381937
pioneer primary school,71.0,0.325,7.0,0.6857142857142857,0.0,0.48,19.0,0.6333333333333333,1.34872092746566,103.694867873154
woodlands primary school,71.0,0.2333333333333333,7.0,0.42857142857142855,0.0,0.4666666666666667,19.0,0.3,1.43476970480441,103.797841126811
yew tee primary school,71.0,0.2380952380952381,7.0,0.5,0.0,0.5,19.0,0.6142857142857143,1.39696139159331,103.751194604689
punggol view primary school,71.0,0.3333333333333333,7.0,0.575,0.0,0.5444444444444444,19.0,0.48125,1.40533331354236,103.905386541875
tampines primary school,71.0,0.2380952380952381,7.0,0.37222222222222223,0.0,0.4444444444444444,19.0,0.5047619047619047,1.35048639822833,103.943573089534
fernvale primary school,71.0,0.3333333333333333,7.0,0.6666666666666666,0.0,0.575,19.0,0.6407407407407407,1.38997940750514,103.874100976917
anchor green primary school,71.0,0.3375,7.0,0.7,0.0,0.5791666666666667,19.0,0.6148148148148148,1.39066247794443,103.887256080733
yu neng primary school,71.0,0.11666666666666667,7.0,0.2888888888888889,0.0,0.2777777777777778,19.0,0.16111111111111112,1.33390380862116,103.93203405271
innova primary school,71.0,0.24761904761904766,7.0,0.5619047619047619,0.0,0.4380952380952381,19.0,0.5047619047619047,1.42918459185655,103.790557056487
endeavour primary school,71.0,0.24761904761904766,7.0,0.5285714285714286,0.0,0.5476190476190477,19.0,0.5791666666666667,1.45417628963848,103.817427319321
zhenghua primary school,71.0,0.24761904761904766,7.0,0.5238095238095238,0.0,0.5285714285714286,19.0,0.5083333333333333,1.37980236109135,103.76917079696
riverside primary school,71.0,0.35,7.0,0.6095238095238096,0.0,0.5095238095238095,19.0,0.30952380952380953,1.44710495026316,103.801921210213
yuhua primary school,71.0,0.35,7.0,0.6444444444444445,0.0,0.5866666666666667,19.0,0.7380952380952381,1.34291981758865,103.740861144256
corporation primary school,71.0,0.2619047619047619,7.0,0.5761904761904761,0.0,0.6238095238095238,19.0,0.6583333333333333,1.35148549046355,103.7075783976
north spring primary school,71.0,0.3541666666666667,7.0,0.7375,0.0,0.6476190476190476,19.0,0.7518518518518519,1.38752823629059,103.903512956253
queenstown primary school,71.0,0.3625,7.0,0.6375,0.0,0.6791666666666667,19.0,0.5958333333333333,1.29598844588533,103.807901902313
fuchun primary school,71.0,0.2761904761904762,7.0,0.4055555555555556,0.0,0.4444444444444444,19.0,0.5428571428571428,1.43063975763573,103.778175192579
springdale primary school,71.0,0.36666666666666653,7.0,0.6791666666666667,0.0,0.5416666666666666,19.0,0.4259259259259259,1.3949581843253,103.889896502144
telok kurau primary school,71.0,0.2809523809523809,7.0,0.55,0.0,0.5222222222222223,19.0,0.6875,1.33091347150609,103.91134913991
wellington primary school,71.0,0.2857142857142857,7.0,0.6142857142857143,0.0,0.5,19.0,0.675,1.45193387060479,103.822320585589
mayflower primary school,71.0,0.2857142857142857,7.0,0.65,0.0,0.6666666666666666,19.0,0.6722222222222223,1.37639873747589,103.843165757219
punggol primary school,71.0,0.2904761904761905,7.0,0.6285714285714286,0.0,0.5333333333333333,19.0,0.5238095238095238,1.40180487285084,103.898772864909
bukit view primary school,71.0,0.2904761904761905,7.0,0.6333333333333333,0.0,0.5944444444444444,19.0,0.7095238095238096,1.34594524614786,103.753588844734
gan eng seng primary school,71.0,0.2904761904761905,7.0,0.6285714285714286,0.0,0.5888888888888889,19.0,0.5555555555555556,1.28595539341476,103.815228207863
punggol green primary school,71.0,0.37916666666666665,7.0,0.6416666666666667,0.0,0.6148148148148148,19.0,0.35625,1.40180487285084,103.898772864909
marymount convent school,71.0,0.38333333333333336,7.0,0.5619047619047619,0.0,0.7,19.0,0.6095238095238096,1.34042702347099,103.839898962936
concord primary school,71.0,0.29523809523809524,7.0,0.6619047619047619,0.0,0.4,19.0,0.4125,1.38026516111464,103.736554295636
chongzheng primary school,71.0,0.2,7.0,0.3555555555555556,0.0,0.4055555555555556,19.0,0.24444444444444444,1.35059476908513,103.951225249062
yishun primary school,71.0,0.3142857142857143,7.0,0.5333333333333333,0.0,0.6238095238095238,19.0,0.5952380952380952,1.43349639934216,103.834027410567
pasir ris primary school,71.0,0.20555555555555555,7.0,0.38333333333333336,0.0,0.4,19.0,0.22777777777777775,1.37230861882846,103.962918870593
cantonment primary school,71.0,0.31904761904761897,7.0,0.6380952380952379,0.0,0.6619047619047619,19.0,0.6714285714285714,1.27550544136483,103.839922725842
west spring primary school,71.0,0.4125,7.0,0.7041666666666667,0.0,0.55,19.0,0.3541666666666667,1.38946311825015,103.766077275118
townsville primary school,71.0,0.32857142857142857,7.0,0.75,0.0,0.7055555555555556,19.0,0.7523809523809524,1.36036263436069,103.854185521507
ang mo kio primary school,71.0,0.32857142857142857,7.0,0.6666666666666666,0.0,0.7285714285714285,19.0,0.7111111111111111,1.36909206497025,103.839041355537
tampines north primary school,71.0,0.32857142857142857,7.0,0.6388888888888888,0.0,0.65,19.0,0.7,1.36069171976908,103.948936797596
si ling primary school,71.0,0.3333333333333333,7.0,0.6666666666666666,0.0,0.7222222222222222,19.0,0.6761904761904762,1.43269986575791,103.785778769275
jiemin primary school,71.0,0.22777777777777775,7.0,0.5666666666666667,0.0,0.42777777777777776,19.0,0.4047619047619048,1.4276468518322,103.830480360286
huamin primary school,71.0,0.2388888888888889,7.0,0.5444444444444444,0.0,0.5166666666666667,19.0,0.5666666666666667,1.42695886300879,103.844209671353
marsiling primary school,71.0,0.3476190476190476,7.0,0.7388888888888889,0.0,0.6722222222222223,19.0,0.7958333333333333,1.4344231166861,103.773697721298
white sands primary school,71.0,0.25555555555555554,7.0,0.4388888888888889,0.0,0.3055555555555556,19.0,0.2611111111111111,1.36551781309106,103.960948215572
bendemeer primary school,71.0,0.36666666666666653,7.0,0.6611111111111111,0.0,0.6190476190476191,19.0,0.6142857142857143,1.32220848530291,103.865351336085
